name,aliases,vendor,category,search_names,version,version_type
Samsung Galaxy S26,samsung galaxy s26,Samsung,Mobile Phone,,,
Philips Hue Bridge Pro,Philips Hue Bridge;philips hue bridge,Signify,Smart Home,,,
Home Assistant Green,Home Assistant,Nabu Casa,Smart Home,,,
Oura Ring 5,,Oura,Wellness,,,
Chroma,,Open Source,AI infrastructure,ChromaDB,,
Postgres pgvector,pgvector,Open Source,AI infrastructure,,,
Oracle Autonomous AI Database,,Oracle,AI infrastructure,,,
LiteLLM,litellm,Open Source,AI infrastructure,,,
NVIDIA Dynamo,,NVIDIA,AI infrastructure,,,
Anthropic Claude Code,Claude Code;claude code,Anthropic,Coding Agent,,,
OpenAI Codex,,OpenAI,Coding Agent,,,
